Thuật toán,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.6640419947506562,0.6031830238726791,0.982713915298185,0.747534516765286
Random Forest,0.9195100612423447,0.9241499564080209,0.916162489196197,0.9201388888888888
